question,answer1,answer2,spread,rewards_daily_rate,gm_reward_per_100,sm_reward_per_100,bid_reward_per_100,ask_reward_per_100,volatility_sum,volatilty/reward,min_size,1_hour,3_hour,6_hour,12_hour,24_hour,7_day,30_day,best_bid,best_ask,volatility_price,max_spread,tick_size,neg_risk,market_slug,token1,token2,condition_id
"Will the announcers say ""Penalty"" or ""Flag"" 30+ times during Chiefs vs Jaguars game? (October 6)",Yes,No,0.5800000000000001,5,2.5,2.5,2.5,2.5,18.89,0.13,20,0.0,0.0,0.0,0.0,2.45,8.22,8.22,0.06,0.64,0.35,4.5,0.01,False,will-the-announcers-say-penalty-or-flag-30-times-during-chiefs-vs-jaguars-game-october-6-674,114517540351476425055200467408166689876025096321185772915949626392398635837554,104901461643977975535846109066571070294193379037713962656058200134025236417942,0xc705c35888fa92126da1c961c5667e4ec49cd63f163b292c9bedda24eb5d8e2f
Will PH win the most seats in the 2026 Colombian Senate election?,Yes,No,0.07,5,2.5,2.5,2.5,2.5,14.77,0.17,200,0.0,0.0,0.0,0.0,0.0,6.01,9.44,0.43,0.5,0.46,3.5,0.01,True,will-ph-win-the-most-seats-in-the-2026-colombian-senate-election,83252879632501781859698316188750341021075091060078102880613132675338807677948,38060584959388639802358891543286770196789235602698756836569147945257589436738,0x45331137178e0a1b0c00d3ed3a07b4e04bed7232855f8c6c5539007f9ebeaecd
"Will the announcers say ""Boo"" during Chiefs vs Jaguars game? (October 6)",Yes,No,0.5800000000000001,5,2.5,2.5,2.5,2.5,14.75,0.17,20,0.0,0.0,0.0,0.0,1.41,6.67,6.67,0.06,0.64,0.35,4.5,0.01,False,will-the-announcers-say-boo-during-chiefs-vs-jaguars-game-october-6,79387084392867975024949952326277092589897317652120745124073542689988235103952,56799350061981270900459449311565553813736324366049550114609171065715451640971,0xd2e7a17633536254425d9adc1b2d3c3bf1036eb1f973bb97272d99dc88b4b327
Netanyahu out by end of 2026?,Yes,No,0.07000000000000006,5,2.5,2.5,2.5,2.5,6.75,0.37,200,8.93,9.87,7.16,5.37,3.81,1.7,1.04,0.48,0.55,0.52,3.5,0.01,False,netanyahu-out-before-2027,114694726451307654528948558967898493662917070661203465131156925998487819889437,66255671088804707681511323064315150986307471908131081808279119719218775249892,0xd1796c09d0d6f876f8580086ae9808ec991784e3a74b25a1830a25de71a78c96
Will Trump sell 0 Gold Cards in 2025?,Yes,No,0.030000000000000027,10,2.23,2.24,2.29,2.18,11.59,0.19,100,7.55,5.47,4.45,3.19,2.27,3.44,5.99,0.63,0.66,0.64,3.5,0.01,True,will-trump-sell-0-gold-cards-in-2025,95197758690536781344967069481835822467121525130144169973322994558549635662278,109515911432648770277285602531582027307775296360446797986775280879694624466477,0x777c48a36a064675a0a95112c12f54cda0b1caf9a64f7450fde31a8a8212af5a
Will Michael B. Jordan be nominated for Best Actor at the 98th Academy Awards?,Yes,No,0.16000000000000003,4,2.0,2.0,2.0,2.0,10.15,0.2,100,0.0,11.37,8.14,5.8,4.11,1.56,4.48,0.69,0.85,0.76,4.5,0.01,False,will-michael-b-jordan-be-nominated-for-best-actor-at-the-98th-academy-awards,58833268991499526632201672003897796158554021477987418868843229130495678128765,80195769281671292496605667107826672350244938259276871340928788781974197161355,0x56b6ea1e2601b232df67cb8adf6400e1c017a0e2f5896c696b76a5a2a94d18fd
"Will Taylor Swift say ""Sabrina"" or ""Carpenter"" during Tonight Show on October 6?",Yes,No,0.06000000000000005,5,1.84,1.84,1.78,1.9,19.98,0.09,20,11.74,13.21,9.9,9.13,7.54,6.22,6.22,0.71,0.77,0.74,4.5,0.01,False,will-taylor-swift-say-sabrina-or-carpenter-during-tonight-show-on-october-6,13964245805571988474201977359790836100659848444267068525599996758612439494557,80283556917957209274316052261608567571046007843284386382335227515334012502354,0xf810f1f1d1ab5a03dfff3a7fbc83513b5258f505f1a35d91c2a902b4f43347a7
Yieldbasis FDV above $500M one day after launch?,Yes,No,0.020000000000000018,10,1.65,1.65,1.72,1.58,18.159999999999997,0.09,100,2.41,1.46,1.47,1.05,1.76,8.2,8.2,0.94,0.96,0.95,3.5,0.01,False,yieldbasis-fdv-above-500m-one-day-after-launch,89929638197244185373379732329638083128952034760604027997452658821971009933463,96752156503742958477338015551395572650101687476076494354544425462657040016069,0x35356aa62c062ec140a22760ff9aeb7a2d7079fa8aa5805319ad9579ad52e3b7
Will Delta Air Lines (DAL) beat quarterly earnings?,Yes,No,0.029999999999999916,10,1.57,1.6,1.34,1.85,17.580000000000002,0.09,200,0.0,1.68,3.41,5.92,4.2,5.4,7.98,0.8,0.83,0.82,3.5,0.01,False,dal-quarterly-earnings-nongaap-eps-2025-10-09-1pt52,80065717401962378679510621072775912147194629802976638407532933107238550767601,12978163259469013400784985517624043911322058196259556942456526848315450005146,0xca3f4b688bce03a24747d339ff30aa2cf45fff9addfd43ea11e1f20689ae091b
Will Omnicom Group (OMC) beat quarterly earnings?,Yes,No,0.030000000000000027,10,1.55,1.57,1.8,1.34,7.1899999999999995,0.22,200,0.0,0.0,0.0,0.0,2.21,1.93,3.05,0.85,0.88,0.86,3.5,0.01,False,omc-quarterly-earnings-nongaap-eps-2025-10-14-2pt17,114934263313722638572792825747263771516608632964078337497582141979190117883037,52514440330182880925602822692350868751896570248708953479976051297002658811620,0xf6e24791df46f2dfb069dd01e3031db44976f8c9ea91960691a3b6649dfcacfe
Will Domino’s Pizza (DPZ) beat quarterly earnings?,Yes,No,0.039999999999999925,10,1.54,1.54,1.58,1.51,16.59,0.09,200,5.06,5.13,3.98,3.32,3.87,4.04,8.68,0.79,0.83,0.81,3.5,0.01,False,dpz-quarterly-earnings-gaap-eps-2025-10-14-3pt96,114014167971110546400912450020455187248962614853235253034093809206183048605634,11855629346278560933303097996186816238636465329561152493172559168463166738003,0xb4fc7085019ffdf2c9c0c70581d16340c4e99b85d091dfbec32340c81785eb62
Will MGM Resorts receive a license for MGM Empire City casino in Yonkers?,Yes,No,0.5,3,1.5,1.5,1.5,1.5,18.72,0.08,20,0.0,0.0,0.0,3.56,2.52,6.37,13.85,0.36,0.86,0.61,3.5,0.01,False,will-mgm-resorts-receive-a-license-for-mgm-empire-city-casino-in-yonkers,104419542600522155604302158854417459867300800302138205592392551948429238920677,54854217224294294538060570686360264450624381004792683922618866359962190740440,0x7f3aebd48546cb388966f09ad8fccbe51c6c4641276ee56351325f0ce8100656
Will Chase Infiniti be nominated for Best Supporting Actress at the 98th Academy Awards?,Yes,No,0.07999999999999996,3,1.5,1.5,1.5,1.5,4.92,0.3,50,0.0,0.0,0.0,0.0,0.0,2.46,2.46,0.4,0.48,0.44,4.5,0.01,False,will-chase-infiniti-be-nominated-for-best-supporting-actress-at-the-98th-academy-awards,61501418198218591815311956428341135545693570155687850419489493522032157026207,81607544791802319183646767912471759429281196266423912675060271780484071474515,0xdb042644dcc644db364674d39fde65db3b8db3681c94614619836bab52395e95
Will Luke Combs release an album in 2025?,Yes,No,0.84,3,1.5,1.5,1.5,1.5,2.48,0.6,20,0.0,0.0,0.0,0.0,0.0,1.18,28.48,0.03,0.87,0.45,4.5,0.01,False,will-luke-combs-release-an-album-in-2025,42865701953395006850398083716037220076106210178097847859916239819254896518944,93993300788031461430672243853103706159527816557043913364088062094761802967592,0xdd75d46f769f749e1ecb30055e9f04798c3aadadfe0071d6fba8274daa85b83c
Will Inga Ibsdotter Lilleaas be nominated for Best Supporting Actress at the 98th Academy Awards?,Yes,No,0.08000000000000007,3,1.5,1.5,1.5,1.5,0.76,1.97,50,0.0,0.0,0.0,0.0,0.0,0.38,0.38,0.47,0.55,0.51,4.5,0.01,False,will-inga-ibsdotter-lilleaas-be-nominated-for-best-supporting-actress-at-the-98th-academy-awards,99557827045524807467234791605481269002910346793758641908665692805984114950949,36873990491685061697797429373815875133688566397124746516954174552245605222407,0x2f470d4f9b647ad6b2bfd12e75174a478aeeda94a2158037a8cc331a2b7fa81b
Will Gwyneth Paltrow be nominated for Best Supporting Actress at the 98th Academy Awards?,Yes,No,0.07999999999999996,3,1.5,1.5,1.5,1.5,6.38,0.24,50,0.0,0.0,0.0,0.0,0.0,3.19,3.19,0.55,0.63,0.59,4.5,0.01,False,will-gwyneth-paltrow-be-nominated-for-best-supporting-actress-at-the-98th-academy-awards,25389825768050788418005043546596743510617314284551119971004055432307771959696,18286225682478679540460515688695438467965582764277500039370586220024691447457,0x1c37fbdf6b73ef0f9ee14a13f9655ab20fe1bb41032b16e5e781b36eb2f07e48
Will Kinder Morgan (KMI) beat quarterly earnings?,Yes,No,0.020000000000000018,10,1.4,1.44,1.14,1.73,7.02,0.2,200,0.0,0.0,0.0,0.0,0.92,2.57,3.53,0.54,0.56,0.55,3.5,0.01,False,kmi-quarterly-earnings-nongaap-eps-2025-10-15-0pt3,97877578844157344112106218331762203274572805029427285769672763914334155072636,72438903765394400323655450722203173453114918140207474924743517540140370004024,0x7666dbf2728c1ccf5ab7590cd04b6b8ffc8a682425ab27a393e4b3ec1aadb16d
Will 2 Fed rate cuts happen in 2025?,Yes,No,0.03,10,1.35,1.36,1.41,1.3,8.690000000000001,0.16,200,0.0,0.0,0.0,0.0,0.0,4.37,5.46,0.19,0.22,0.2,3.5,0.01,True,will-2-fed-rate-cuts-happen-in-2025,11661882248425579028730127122226588074844109517532906275870117904036267401870,61032109452954507190234229613640921045186796600337553837681909605067067778814,0x05af636e0989accb08334a74f69e5368e0aa28fe498fd16a3ca991e6dc5ae2cc
Will McCormick & Company (MKC) beat quarterly earnings?,Yes,No,0.030000000000000027,10,1.34,1.35,1.32,1.37,11.97,0.11,200,0.0,3.77,4.05,2.99,4.59,2.9,4.48,0.86,0.89,0.88,3.5,0.01,False,mkc-quarterly-earnings-nongaap-eps-2025-10-07-0pt82,86125930463400246589214585632565367414382590473120979969854388596554989114767,41454242836495486379120058060713922128900238414495923988718537691249282024228,0x1d3dfd3ff61891cb3e0bf490e0c4156966c84ecff10a1cc375a25cc4475ce33d
Will Stokes Twins' next video get less than 15 million views on week 1?,Yes,No,0.07,3,1.33,1.33,1.33,1.33,18.32,0.07,20,0.0,0.0,0.0,0.0,0.0,0.0,18.32,0.13,0.2,0.16,4.5,0.01,False,will-stokes-twins-next-video-get-less-than-15-million-views-on-week-1,71162873270743067382517114467301228785942360666574324267103415726414428393898,1287380473239487347874566358257947488337619946420795024968670850774600185036,0x104b690b6afd3ea13202a039ca83be72754a22f43ad6d7c05823cd59fed6d8dd
"Will Trump say ""Ass"" in October?",Yes,No,0.07,5,1.32,1.33,1.29,1.36,19.830000000000002,0.07,20,0.0,8.18,6.11,5.09,6.61,6.61,6.61,0.46,0.53,0.5,5.5,0.01,False,will-trump-say-ass-in-october,87548050061384155244195240682316451872906971195536866257588055335522767218056,64057217410789683500351714476724845109604402990596920108121157356009340853918,0xfe5bc8a72e3f67dc0a0cf7e72367f474778393c1b305194d10952b3108574627
"Will Taylor Swift say ""Tour"" 2+ times during Tonight Show on October 6?",Yes,No,0.040000000000000036,5,1.29,1.29,1.24,1.34,18.25,0.07,20,7.58,8.98,7.15,7.51,5.53,6.36,6.36,0.82,0.86,0.85,4.5,0.01,False,will-taylor-swift-say-tour-2-times-during-tonight-show-on-october-6,10563540315082405339393796453885323739091178191729976917899264901782306652773,48130457019432542280493255096927876409219507740060391035747547419040216470973,0xc684ceeccdbd33f64148c839f62623c957c12868c05dac0418c94c3b1b4b2c91
Will 3 Fed rate cuts happen in 2025?,Yes,No,0.020000000000000018,10,1.28,1.37,1.86,0.88,7.299999999999999,0.18,200,0.0,0.0,0.0,0.0,1.51,2.76,4.47,0.65,0.67,0.66,3.5,0.01,True,will-3-fed-rate-cuts-happen-in-2025,17601770442239563289082275181138749951422899442850916335476881677007065139739,39979393291433838641824861631885750592113619894259619599511650636783179688654,0x6df2f2ca434b5bacaef33d6b24edf42845199f4f794e66580de2d2c880a25275
Will the EU impose new tariffs on US goods in 2025?,Yes,No,0.010000000000000009,5,1.24,1.25,1.04,1.47,19.36,0.06,100,11.11,12.31,11.79,9.03,6.62,5.05,10.35,0.42,0.43,0.42,3.5,0.01,False,will-the-eu-impose-new-tariffs-on-us-goods-in-2025,25811727168920417540859933508843969881988444197416629691450770208217893492235,12665811864406166211424344381014710256231583684981235122686649907092691165428,0xcf8f5f0cb770c56eba2d5c86500c4589b9177f41eee944dc8c231d1f8384e946
Will Wells Fargo (WFC) beat quarterly earnings?,Yes,No,0.040000000000000036,10,1.23,1.24,1.08,1.4,9.93,0.12,200,0.0,0.0,0.0,0.0,1.37,2.71,5.85,0.87,0.91,0.89,3.5,0.01,False,wfc-quarterly-earnings-gaap-eps-2025-10-14-1pt53,104392027147118759854225063915560484597219533136200865422241081253138245897764,11499076491863077331795997379596417341377206514943240387137930575913511649606,0x3abde55383b9a88c77ad2c6f51ffa96631c40a56134d117901e690d667daf5d4
Will Trump endorse Andy Barr for KY-Sen by Nov 2 2026 ET?,Yes,No,0.98,3,1.21,1.23,1.5,0.97,2.39,0.51,20,0.0,0.0,0.0,0.0,0.0,0.0,10.99,0.0,0.98,0.49,4.5,0.01,False,will-trump-endorse-andy-barr-for-ky-sen-by-nov-2-2026-et,56353573399798239567088779721723746685332981690056119272051298954224265433225,57448351929574720999295657727652470031550552363375922459464967648903666280497,0xa0a09621f21f3d8ed7c88913f781a6e6a923dc4ad56cf7c80e1b900b058d5d56
Will Interactive Brokers Group (IBKR) beat quarterly earnings?,Yes,No,0.039999999999999925,10,1.21,1.21,1.16,1.26,11.18,0.11,200,0.0,0.0,0.0,0.84,1.35,2.66,7.17,0.81,0.85,0.83,3.5,0.01,False,ibkr-quarterly-earnings-nongaap-eps-2025-10-14-0pt51,3086502392806172150230111536706608136392491549973390323894382088053539239682,52302383856747920566234911756986514064780749383896677554879143154899663971639,0x1d3a78376b50e04fdc49fb0318f01bac1ae45fc41217718df5dfc32e985ce839
Will Russia capture Lyman in 2025,Yes,No,0.01999999999999999,5,1.18,1.18,1.18,1.18,15.41,0.08,100,10.59,6.43,4.61,4.5,5.96,4.66,4.81,0.2,0.22,0.21,3.5,0.01,False,will-russia-capture-lyman-in-2025,69413471342025853123539970827210554097320981860401606713566428969527133746868,108662180836096023200649332326312291786738398259399377032805209176936114960782,0x69b009591dd768c3878e2ff9b28b8661e039409ea2f156ad70aa5224c08702e0
Will annual inflation increase by 3.0% in September?,Yes,No,0.020000000000000018,10,1.16,1.2,0.89,1.51,10.82,0.11,50,0.0,0.0,2.57,1.83,1.81,4.67,5.5,0.37,0.39,0.38,3.5,0.01,True,will-annual-inflation-increase-by-3pt0-in-september-716,2449399617916518755567019362770113894342348527591317624414064952876450975466,10764038571743358406864718174045753447668589210619645441584487501193969348829,0x7a8808061765dafbc64c84872298121659a7835b4ba720dd8517d8b8eaceccd5
Will Trump endorse Ken Paxton for TX-Sen by Nov 2 2026 ET?,Yes,No,0.99,3,1.15,1.19,1.5,0.88,17.94,0.06,20,0.0,0.0,0.0,0.0,0.0,7.98,12.95,0.0,0.99,0.5,4.5,0.01,False,will-trump-endorse-ken-paxton-for-tx-sen-by-nov-2-2026-et,42727291944160720338673894242995707537338205213244876362644541975364071559864,21980908973776062986233298427834244010199064264337740356970076257763794675305,0x6fb1af1cc7caa3b4479fa9a22ba149499795e99f39f807a5272cdbf89acba3b6
Will Ariana Grande be nominated for Best Supporting Actress at the 98th Academy Awards?,Yes,No,0.07000000000000006,3,1.12,1.12,1.15,1.1,16.13,0.07,50,0.0,0.0,0.0,0.0,0.95,7.59,7.59,0.71,0.78,0.74,4.5,0.01,False,will-ariana-grande-be-nominated-for-best-supporting-actress-at-the-98th-academy-awards,18792193210031075674192360583436845524168917846849101256171763589651097460581,19590103065898273513166152328106417945096487318911913401857753273195334263606,0xa51024a8fc7a4d7dfcce9e1266b853dde26cb319dc35bd132b57cd5b29388f43
Will Citigroup (C) beat quarterly earnings?,Yes,No,0.019999999999999907,10,1.12,1.12,1.0,1.25,13.8,0.08,200,0.0,0.0,2.14,1.52,3.46,2.29,8.05,0.8,0.82,0.81,3.5,0.01,False,c-quarterly-earnings-gaap-eps-2025-10-14-1pt90,87891854912791817801789653331868164961282387037158328103224881970551475314887,11715627545555345367701326428297368829051348769788631340201587491827281053527,0x84a695aa8e816e99fe1c400b0fceed1c2ec2fc16ac0a674cf8b048e58f11dcff
No change in Fed interest rates after December 2025 meeting?,Yes,No,0.009999999999999981,20,1.12,1.42,0.55,2.3,13.639999999999999,0.08,200,0.0,0.0,0.0,3.44,3.46,5.33,5.27,0.2,0.21,0.2,3.5,0.01,True,no-change-in-fed-interest-rates-after-december-2025-meeting,80746058984644290629624903019922696017323803605256698757445938534814122585786,85970682092909806158465981896969493051954703765750954325716965011253694472992,0x58f4542341fcc66a2197877b7487ebe901b689ec42bcdbb0a070f5536d91459e
Will Russia capture Myrnohard by December 31?,Yes,No,0.009999999999999953,5,1.11,1.14,0.88,1.41,6.88,0.16,100,0.0,4.96,3.51,2.48,1.75,2.5,4.24,0.4,0.41,0.4,4.5,0.01,False,will-russia-capture-myrnohard-by-december-31,35857656445535677338843466086529596270195685015900614340860700334074317017139,13972099007093945639289066975118952446928598912948776998483907198659692541222,0x5b627c7b2f82ea92dfb69650a87724664ad771d33ff838c11907efa71c5a4d61
Cap on gambling loss deductions repealed in 2025?,Yes,No,0.01999999999999999,5,1.11,1.12,0.98,1.26,14.810000000000002,0.07,200,0.0,0.0,0.0,4.55,4.58,5.86,5.17,0.14,0.16,0.15,3.5,0.01,False,will-the-cap-on-gambling-loss-deductions-be-repealed-in-2025,7659113957645435331793395348651019347992140060112549913674526827882486277159,18040010904167376339496812068017422806475068519215905180119682388342307100503,0x7ddbf4c4ff0b3fdfe7e3230a4607d0485f3b12082f99f9ab1e7c48b8c8e729b1
Nothing Ever Happens: Taylor Swift Edition,Yes,No,0.010000000000000009,20,1.08,1.08,0.99,1.17,8.15,0.13,100,0.0,0.0,0.0,0.0,0.8,3.06,4.29,0.88,0.89,0.88,3.5,0.01,False,nothing-ever-happens-taylor-swift-edition,10604673930045595096656578465398178225797778578464695493215316910489435389441,113497775872641973077749304955090816033973307423779319550893202026919068612225,0xc60ea27c2acb3ce6ed052f628e8c12d315d8bb3a2e1e1d5f248e255e1b7ecccb
Will Catalin Drula be the next Mayor of Bucharest?,Yes,No,0.02999999999999997,5,1.08,1.09,1.24,0.94,18.65,0.06,200,8.81,5.08,3.59,2.54,6.93,6.16,5.22,0.38,0.41,0.4,3.5,0.01,True,will-catalin-drula-be-the-next-mayor-of-bucharest-743,64642655948358223575571547425018249231349946777377000631442573122880572365370,68300947085321673218644655338874564095460490165070562600317355618038877356246,0xef5880e94212f24f17d45b756c9aa42bc7d39c3feda659fc22417adae5e22d00
Will monthly inflation increase by 0.4% in September?,Yes,No,0.020000000000000018,5,1.07,1.08,0.93,1.24,12.989999999999998,0.08,50,19.81,12.02,8.62,6.13,4.8,4.58,13.17,0.43,0.45,0.44,3.5,0.01,True,will-monthly-inflation-increase-by-0pt4-in-september,96906636001390377620769170581304896470237936060006554313940713807344339868942,90222450216195922042773333858179632746973646014913313731065779633102127953162,0x4e3d2a7b876818e57529f8bbb47df745104905eee1853ba38594c86d4ec3d6f8
Will Vicky Dávila win the 2026 Colombian presidential election?,Yes,No,0.01999999999999999,5,1.04,1.04,1.11,0.97,11.64,0.09,200,0.0,0.0,0.0,0.0,0.0,4.92,7.78,0.13,0.15,0.14,3.5,0.01,True,will-vicky-dvila-win-the-2026-colombian-presidential-election,111233749945390693132335511891715724694881884819987764738034083584495542889312,96773893512589764869155803687774017846749249748001852862755144389935842815761,0x849a3e762977a9ad6b8e5f449ac7c8abb2756409a1b55759e00262e072bd81a7
Will Google have the top AI model on December 31?,Yes,No,0.010000000000000009,10,1.03,1.04,0.95,1.12,12.36,0.08,100,0.0,0.0,0.0,0.0,3.79,4.17,3.85,0.71,0.72,0.72,3.5,0.01,True,which-company-has-best-ai-model-end-of-2025,95439201103958291841222373625424698303339849105476314992984252617398188905150,56700920570772611352447671072645661081247297678677316893421987058530396786756,0x7d98815be880769be11a63b4df815b9bdcbf6ae007a8caaba9a2909816a8d1c6
Will Citizens Financial Group (CFG) beat quarterly earnings?,Yes,No,0.030000000000000027,10,1.02,1.02,1.01,1.03,6.9399999999999995,0.15,200,0.0,0.0,0.0,0.0,1.41,1.98,3.55,0.7,0.73,0.72,3.5,0.01,False,cfg-quarterly-earnings-gaap-eps-2025-10-15-1pt03,91735190118803244080395327296080735601729778010606404810930585267661554274710,75640699930105559798490063643622739887141814567001897321916253282098701559537,0x46396867efc69c36b9ece504df9b8f9716658e30a0890920ed355b1ca681d9c0
Will Henrique Gouveia e Melo win the 2026 Portugal presidential election?,Yes,No,0.06999999999999995,2,1.0,1.0,1.0,1.0,14.920000000000002,0.07,200,10.58,9.02,6.4,10.1,7.61,3.24,3.06,0.5,0.57,0.53,3.5,0.01,True,will-henrique-gouveia-e-melo-win-the-2026-portugal-presidential-election,107252287464378185480339300277791815889919330201891674919771186169934663184025,108290077635041993245111833080106297350242002571244675087631982922823879559265,0x2b1e18ef56cb7222ce2fb03d6cd9fb8fcca06d80b64d0dacbe6ce2f00ab31d00
Will Trump act to ban mail-in voting or voting machines in 2025?,Yes,No,0.13000000000000006,2,1.0,1.0,1.0,1.0,17.58,0.06,50,0.0,0.0,4.56,4.32,5.05,5.85,6.72,0.42,0.55,0.48,3.5,0.01,False,will-any-state-eliminate-mail-in-votingvoting-machines-in-the-2026-midterm-elections,36402825643734985192182062220999931812798335636627484593159901844323552047873,99169259142827875380235544173341800146406456123309664843978496187972710234949,0xfa17c197e8330096bf3ab871559ed69cb6940bf4a46174579e5d2c1f8faae1f1
Democrats 66 (D66) win 10% or more of votes in Netherlands election?,Yes,No,0.13999999999999996,2,1.0,1.0,1.0,1.0,19.23,0.05,100,0.0,0.0,0.0,0.0,1.75,9.88,6.35,0.34,0.48,0.41,3.5,0.01,False,democrats-66-d66-win-10-or-more-of-votes-in-netherlands-election,29588216507131927967811529093785578338038226204194227956888362112827164829353,59509621793004941913108907899736520337067877103203001076901109802939925640491,0x1a7d40a55ae60c5dd65ed758dcb503074916132eba2f93a701d25ab999a7a370
