question,answer1,answer2,spread,rewards_daily_rate,gm_reward_per_100,sm_reward_per_100,bid_reward_per_100,ask_reward_per_100,volatility_sum,volatilty/reward,min_size,1_hour,3_hour,6_hour,12_hour,24_hour,7_day,30_day,best_bid,best_ask,volatility_price,max_spread,tick_size,neg_risk,market_slug,token1,token2,condition_id
Will the Government shutdown end October 6-9?,Yes,No,0.009999999999999995,70,10.51,11.04,7.65,14.43,124.50999999999999,0.08,200,0.0,61.57,54.06,38.22,51.81,36.35,36.35,0.05,0.06,0.06,3.5,0.01,True,will-the-government-shutdown-end-october-6-9,102353409991138207236913342279665845978485795604419286786657142150963180132116,58645066108179153821821527079842767328242879244948054511016536832758757908703,0x2df0f9131944410c596a5ec62c3c19d2dde36d97002e9a236ea5323ffe1a9be4
Will Neogen (NEOG) beat quarterly earnings?,Yes,No,0.010000000000000009,70,10.18,10.28,8.84,11.73,41.540000000000006,0.25,20,6.24,3.79,13.32,9.5,8.7,16.42,16.42,0.36,0.37,0.36,3.5,0.01,False,neog-quarterly-earnings-nongaap-eps-2025-10-09-0pt04,52273751263713857648921804078466648255282997692986833033892328585441018128008,51560962646439884022416726722849507157327208185166971850525029177312463340144,0x4adb9043d555e5f676d2b465d4f4acddede52d6352edbab7bf2422aae03c4d4e
Will Microstrategy announce a Bitcoin purchase October 7-13?,Yes,No,0.14,20,10.0,10.0,10.0,10.0,477.27,0.02,50,159.09,159.09,159.09,159.09,159.09,159.09,159.09,0.65,0.79,0.72,3.5,0.01,False,will-microstrategy-announce-a-bitcoin-purchase-october-7-13,13668236835015019588840206434836071609611596402386682417843320072598629694666,16381736053689479691831339912593464081367225780173604735629198522437282548213,0x9fadef0b594d8a8bef9b21fd40fde379d5b5b9aaf6b29686fdc14b455b11fc63
MicroStrategy announces >4000 BTC purchase October 7-13?,Yes,No,0.37,20,10.0,10.0,10.0,10.0,417.65999999999997,0.02,50,139.22,139.22,139.22,139.22,139.22,139.22,139.22,0.07,0.44,0.26,3.5,0.01,False,microstrategy-announces-4000-btc-purchase-october-7-13,52705858273323394095673625157889517666587416124015181500904718133168412925069,109918084304058737514950618904470722444571279779020231446012220585872044744427,0x5696c1ef42bbceae0c750c06453659fcd590db9759127323874bc979eb49d3bf
Will Fastenal (FAST) beat quarterly earnings?,Yes,No,0.010000000000000009,70,9.8,9.81,10.35,9.27,42.339999999999996,0.23,20,0.0,4.46,21.4,15.17,12.04,15.15,15.15,0.71,0.72,0.72,3.5,0.01,False,fast-quarterly-earnings-gaap-eps-2025-10-13-0pt30,10097924204200360518597956657728733542552772177286081758947242273990396591274,75383807920166080834741825302026850691784673567384790983598213941756907197319,0xd95763b99884bc43791ecf75766ca99158926336d532749ce51aaddce8668d91
"Will Hyperliquid perform an airdrop by December 31, 2026?",Yes,No,0.020000000000000018,50,9.47,9.48,9.41,9.54,96.69,0.1,50,2.57,1.56,1.12,38.46,32.23,32.23,32.23,0.88,0.9,0.89,3.5,0.01,False,will-hyperliquid-perform-an-airdrop-by-december-31-2026,101513571766435454355723114188696307527864518980689079866102837918467349506537,85487630954297906857427842745787851948079273488527800245673979479655643658539,0xfa88bedd0403281fac1b3c8b310755040aabed8ba12ded1b2e3205a3d05a4a28
Will Applied Digital (APLD) beat quarterly earnings?,Yes,No,0.020000000000000018,70,9.42,9.96,13.18,6.73,45.86,0.21,20,0.0,1.6,5.33,6.78,13.04,16.41,16.41,0.86,0.88,0.87,3.5,0.01,False,apld-quarterly-earnings-nongaap-eps-2025-10-09-neg0pt16,112554553237492010389712832862437088485795745543136466480942257799712028422732,28855119539963429850492298511382171846875325887712027364600407642226277725336,0x2bcb07b13e4086028a4398df1f20000ed83816828337aefbf5f0ffa851e75d10
Will Byrna Technologies (BYRN) beat quarterly earnings?,Yes,No,0.020000000000000018,70,9.26,9.32,8.19,10.46,25.4,0.36,20,0.0,0.0,1.28,1.59,4.78,10.31,10.31,0.76,0.78,0.77,3.5,0.01,False,byrn-quarterly-earnings-gaap-eps-2025-10-09-0pt06,34052625302660668065282320732091519566746651927210893168935336662978452882968,47337321558494875944608823468696566837115195482310626986232820911912336659603,0x371ab1ff57e500d605ac27a481e35b53ff12067c7c39492bd97ea06bc7d5316a
Will Richardson Electronics (RELL) beat quarterly earnings?,Yes,No,0.020000000000000018,70,9.22,9.32,7.95,10.69,24.990000000000002,0.37,20,0.0,9.3,7.66,5.73,5.23,9.88,9.88,0.73,0.75,0.74,3.5,0.01,False,rell-quarterly-earnings-nongaap-eps-2025-10-08-neg0pt01,77513654056324038465016322540676597231944770088721378950675823669249930786993,103541248315337807504121263695676368686777384369421173254520484751896232935705,0x30276b59d4611ee42e2c1d91c0985f4a13decbe57eb857c41edaae66292c4c5f
Will State Street (STT) beat quarterly earnings?,Yes,No,0.020000000000000018,70,9.13,9.15,8.57,9.73,41.45,0.22,20,2.86,1.74,7.0,5.01,3.75,18.85,18.85,0.78,0.8,0.79,3.5,0.01,False,stt-quarterly-earnings-gaap-eps-2025-10-17-2pt58,4305309925690860739303312399731024689108419294625372795199214775764098235970,4899853627758639001523528904665005066867044946547535402478378630137600278354,0x0cf7d752a5ab03ebb18d46d3924a652dfa6b6d63c03cc2367444fcad1a3fad7d
US x Venezuela military engagement by December 31?,Yes,No,0.020000000000000018,40,9.05,9.09,9.85,8.32,32.7,0.28,100,5.76,8.35,6.22,13.45,12.1,10.92,8.2,0.51,0.53,0.52,3.5,0.01,False,us-x-venezuela-military-engagement-by-december-31-391,58194798786674267467235696472878300864943462064955274098210719743062794563955,86127053351389280317665592955308422023136163174658857021506191296325242966070,0x62b0cd598091a179147acbd4616400f804acfdff6f76f029944b481b37cbd45f
Will the Government shutdown end October 10-14?,Yes,No,0.010000000000000009,100,8.48,8.48,8.21,8.76,61.190000000000005,0.14,200,0.0,13.17,13.53,9.57,7.85,26.67,26.67,0.22,0.23,0.22,3.5,0.01,True,will-the-government-shutdown-end-october-10-14,101498431606715342761575953026777430269551601560209286685383560955164321738436,108416167621173363215008688396476045973727989005336989424390454306344668908969,0x3c14980495b09987db0d1b241f47c8f791b6591340f94fea066beeef139ec352
Will AZZ (AZZ) beat quarterly earnings?,Yes,No,0.010000000000000009,70,8.04,8.12,9.23,7.01,35.83,0.22,20,0.0,0.0,5.33,6.36,4.79,15.52,15.52,0.9,0.91,0.9,3.5,0.01,False,azz-quarterly-earnings-nongaap-eps-2025-10-08-1pt57,21434878513385905389098602391984541416608417936746864695484413177804549178497,65770006329472536797111604690822388984325441123677463203260812732664696637882,0x5466a34f86708de3b1014fcb0c02ad2fa63456a1e7af1d393d2b16aca3c79832
Will Zelah Glasson win Big Brother UK Series 22?,Yes,No,0.06,20,7.82,7.82,7.79,7.86,210.97000000000003,0.04,20,0.0,0.0,0.0,54.38,83.25,63.86,63.86,0.15,0.21,0.18,4.5,0.01,True,will-zelah-glasson-win-big-brother-uk-series-22,71214136910910164635365919506397080272997697270100092564533280605304197707534,33611809705629249708227899854841251088146689673830397534827165226804095106607,0x0443f59f9ca0f14ff140e550ed07a5dc8f080ae9e805be36456dd0cfd867d821
Will Gemini 3.0 be released by October 31?,Yes,No,0.039999999999999925,40,7.56,7.57,7.94,7.2,38.099999999999994,0.2,100,14.73,9.04,9.23,9.22,14.79,12.76,11.95,0.65,0.69,0.69,3.5,0.01,False,will-gemini-3pt0-be-released-by-october-31-881-568-524,11884560026541818867074532862160335930627617257772176678343571244360369764268,26995640316426736155119869504185537388579005652312736538276029664453503026428,0xb65d38b20b1405e0f246ce4ae2d027a17537986d7af927cabf974eff17e0868f
Will Gemini 3.0 be released by October 15?,Yes,No,0.010000000000000009,40,7.49,7.5,7.16,7.84,170.28,0.04,200,26.82,42.77,64.06,46.88,60.74,54.77,54.77,0.16,0.17,0.16,3.5,0.01,False,will-gemini-3pt0-be-released-by-october-15,26263932589074273696964514703678143689677121346130757022106324168439680078457,19345680502009368969848618092530820509128041634745186615359295125724504821831,0xcef1d53c8d5da95df81885e658dd3a30ae937bbe18bbe40cbb166058710fdff1
"Will Elon Musk post 220-239 tweets from October 3 to October 10, 2025?",Yes,No,0.009999999999999995,30,7.19,7.24,6.45,8.02,93.85,0.08,50,19.81,24.71,25.13,20.73,22.21,35.82,35.82,0.11,0.12,0.12,3.5,0.01,True,elon-musk-of-tweets-october-3-october-10-220-239,39010942706353650770341594026526054165166047498897339944238901915779090130314,64186425432903236183458112134019480278851841462153955902465652437483877551868,0x79dad466b258dd8877deb9e3455719d6272bf393038614f421fc5948a3b35ed7
Will Donald Trump issue 1 executive order in the week of October 10?,Yes,No,0.010000000000000009,30,7.04,7.12,6.06,8.18,101.06,0.07,20,0.0,0.0,0.0,9.16,38.78,31.14,31.14,0.19,0.2,0.2,4.5,0.01,True,will-donald-trump-issue-1-executive-order-in-the-week-of-october-10-371,75938073229619353455995471149418862355565312212326190987914353690562601837423,73721358719426642610444527265762153291987921901223665541600194175662909935259,0xbe24330b3491c7e8a61cfde7ee046ea3f0f2b26aec29d09996d71a7f1a712fff
Will Glacier Bancorp (GBCI) beat quarterly earnings?,Yes,No,0.030000000000000027,70,6.97,6.98,6.73,7.22,25.709999999999997,0.27,20,0.0,0.0,0.0,3.71,2.63,11.54,11.54,0.73,0.76,0.74,3.5,0.01,False,gbci-quarterly-earnings-gaap-eps-2025-10-16-0pt61,93621596081514643820447644055272348249133393867775029038934523780834344629658,86301041920931369055235758641946052812351287491925758566513392869192480151766,0x81e68dff563dfa1221a6d1c0215e2d3549c794cb72a366be1645d7724b338997
Will Catherine Connolly win the Irish Presidential Election?,Yes,No,0.020000000000000018,50,6.93,7.22,5.19,9.26,28.47,0.24,200,8.21,13.99,10.88,8.25,9.3,10.55,13.23,0.66,0.68,0.67,3.5,0.01,True,will-catherine-connolly-win-the-irish-presidential-election,35819574986567063041610481895803311952212566085229880109455177860039836195470,11639725903283767178376996051224667519150023734849155317716252693652552160709,0x566d830e56572831055d5283bd64af8a300945636a3d6a4bc116c55886298706
"Will Elon Musk post 240-259 tweets from October 3 to October 10, 2025?",Yes,No,0.010000000000000009,30,6.89,6.95,7.85,6.05,97.56,0.07,50,16.87,14.65,10.65,21.33,18.58,39.49,39.49,0.13,0.14,0.14,3.5,0.01,True,elon-musk-of-tweets-october-3-october-10-240-259,91718481206284064309298750000250116670732840299584473984559349692987652757875,106785177200145829047480501520532773000234320758137134699334865277378198177682,0xf580f2488f8e03a0b81b67c85ec1906cd75e4c375ad769e21b0e3335a6382b60
Will Donald Trump issue 0 executive order in the week of October 10?,Yes,No,0.03,30,6.71,6.71,6.67,6.75,82.83,0.08,20,0.0,0.0,0.0,0.0,16.03,33.4,33.4,0.22,0.25,0.24,4.5,0.01,True,will-donald-trump-issue-0-executive-order-in-the-week-of-october-10,40178125642644161913805752525796046683270027735170060117538236671828143024699,109509627092167549391708500201914780042322928600511192294611570534176915701624,0xbe7305335831f9631ddc00515dcddf11c3fecf02b0bfe48c45d0acfc15beddab
Will Cameron Kinch win Big Brother UK Series 22?,Yes,No,0.04000000000000001,20,6.2,6.2,5.95,6.46,133.57,0.05,20,0.0,13.85,11.94,41.71,44.33,44.62,44.62,0.13,0.17,0.15,4.5,0.01,True,will-cameron-kinch-win-big-brother-uk-series-22,75294697632189947022674836765888713827994371035036269395862684387608657425537,85934477338082528125483600141761218162910045481236147654874287445560728497566,0x17d5f03d18df0f291e3bd75ff0129c97ddb541a69696fa540cf545018b2d95af
"Will Elon Musk post 200-219 tweets from October 3 to October 10, 2025?",Yes,No,0.009999999999999995,30,5.91,6.18,4.35,8.02,127.19,0.05,50,0.0,0.0,34.22,31.84,52.43,37.38,37.38,0.08,0.09,0.08,3.5,0.01,True,elon-musk-of-tweets-october-3-october-10-200-219,10679409916757442477449892498964320282146264277053216347303867709783852911205,60276335492013674914112028622604915233948107852144118855467691923999607697942,0x4b5004bc05cdc3a6976a7c05fe826e84219c55375d43c3b823f6adbff1c3e3b7
"Will Elon Musk post 280-299 tweets from October 3 to October 10, 2025?",Yes,No,0.020000000000000004,30,5.91,6.0,7.06,4.95,112.14000000000001,0.05,50,0.0,0.0,0.0,20.77,20.72,45.71,45.71,0.11,0.13,0.12,3.5,0.01,True,elon-musk-of-tweets-october-3-october-10-280-299,22360276020767776220584316571497583297396665200681483567235669162036677190992,624905157752930760209213924273678325156875147147159938742352626690101662473,0x9aca3f0ee88c5a9de287c9f1456496f0a2c72f212583020db259f0a34ec31311
US x Venezuela military engagement by October 31?,Yes,No,0.009999999999999981,70,5.82,6.46,3.66,9.27,43.25,0.13,200,19.81,14.98,14.74,15.19,15.54,14.89,12.26,0.23,0.24,0.24,3.5,0.01,False,us-x-venezuela-military-engagement-by-october-31-434,52859417050735918868656908741603454505096049718734443404219679209972083783955,108222495243539546187805552650942183230816478636830289122686938116258337681972,0x3d16ed6f91ad7d3ffb1633e792a6b5595cbd30cf8a9f63883ade9e6e97c8bdc8
Will BlackRock (BLK) beat quarterly earnings?,Yes,No,0.010000000000000009,70,5.74,5.9,4.5,7.31,33.03,0.17,20,0.0,3.11,2.23,3.36,2.93,15.05,15.05,0.89,0.9,0.9,3.5,0.01,False,blk-quarterly-earnings-nongaap-eps-2025-10-14-11pt76,105818134816492989857859675397661515589486426075774379468585464225118011364502,107000542866011393322603444685580995333183935316727170198410292926787101182683,0xd67c63a0b0fec10ad997cb6f083a5657589758d2a2a0769313e13e6d9de19e98
Will Resources Connection (RGP) beat quarterly earnings?,Yes,No,0.010000000000000009,70,5.68,5.72,5.06,6.37,25.08,0.23,20,0.0,0.0,0.0,1.88,4.76,10.16,10.16,0.75,0.76,0.76,3.5,0.01,False,rgp-quarterly-earnings-nongaap-eps-2025-10-08-neg0pt10,41317616991459347209660491350582104390052947602484288015154071668002810851162,88854017654734788087103345061231893636441756741452017828855827251949151847097,0xe7269fae0438d2781e7355ddab7c8539a1fd99eecbf82b7f8fa73bfaba2f62f7
Israel x Hamas ceasefire by October 17?,Yes,No,0.020000000000000018,300,5.67,5.9,7.56,4.25,60.75,0.09,200,9.69,7.4,5.94,8.12,11.21,24.24,25.3,0.47,0.49,0.48,3.5,0.01,False,israel-x-hamas-ceasefire-by-october-17,6719504505815533381130845155090317345996831225442524897176211595570107907498,83422370318483311053733891974427175957930203279178797172986010675254958943117,0x21c3ebd6f0d85a9a78c851ef4485d967d91e890093f5474eb675324c7595a124
Will George Gilbert win Big Brother UK Series 22?,Yes,No,0.03,20,5.42,5.44,5.03,5.84,246.49,0.02,20,0.0,0.0,0.0,15.54,61.43,92.53,92.53,0.1,0.13,0.12,4.5,0.01,True,will-george-gilbert-win-big-brother-uk-series-22,90521518075501989782004041138593911563754563029715346364915720827010117279295,90861013928981991201554347470922250230774796716218663212131427149068746303819,0x1896361ea1cb8ba3eeaeb69f3a86ac3ff224d9f8dbd6373c0d965844820a317f
Will Jenny Baird win Big Brother UK Series 22?,Yes,No,0.03,20,5.33,5.34,5.28,5.39,161.68,0.03,20,0.0,0.0,0.0,0.0,61.32,50.18,50.18,0.14,0.17,0.16,4.5,0.01,True,will-jenny-baird-win-big-brother-uk-series-22,103852431065204463397650419716414876787402619336061081244513774080743815724757,5738763617832659074836848926068000013643605955263782076864974831636797784321,0xfb97991612d6ac76c928e9188a7dad9a8aa809b59d59e51b5048abfa44cfe006
Will Richard Storry win Big Brother UK Series 22?,Yes,No,0.009999999999999995,20,5.22,5.31,4.33,6.29,192.85999999999999,0.03,20,0.0,0.0,0.0,0.0,70.42,61.22,61.22,0.05,0.06,0.06,4.5,0.01,True,will-richard-storry-win-big-brother-uk-series-22,82507084388612887545338348312697126278023440533779932092938115417509229352700,63388254136517160539299730664174274599935551047315716129779065605795590290004,0x279f20438a250c5b0ef67fde6b362dbedc7583f30126ac3169e451975063bf4e
Will Shinjirō Koizumi be the next Prime Minister of Japan?,Yes,No,0.001,30,5.21,7.97,14.0,1.94,,nan,100,,,,,,,,0.001,0.002,0.0,3.5,0.001,True,will-shinjir-koizumi-be-the-next-prime-minister-of-japan-148,56782505541797321833969825397194123078833693108363274704396901811738364760978,55998363602002924667053814952841858738004742857803945859381533344522326498583,0xa6e8cf5236902cf7dfe0fb7e7a148e6ddc4060b50f08e2f16034eaeae5a2017e
James Comey arrested by October 31?,Yes,No,0.030000000000000027,30,5.05,5.05,5.22,4.88,57.67,0.09,200,10.77,6.43,4.58,11.99,11.49,17.02,29.16,0.52,0.55,0.54,3.5,0.01,False,james-comey-arrested-by-october-31,23418272514981997052418815895840495861976219490181315134502574478986060785907,3008237337623280723616475731853835980568155379803436162066608883246506861094,0xf039718dab1c1932d6c1e8538f68be56e7ba75ddb36c535752481fdab7be3b9c
Will the highest temperature in New York City be between 78-79°F on October 6?,Yes,No,0.10999999999999999,10,5.0,5.0,5.0,5.0,85.79,0.06,50,72.88,46.59,34.77,29.75,30.01,27.89,27.89,0.28,0.39,0.34,3.5,0.01,True,will-the-highest-temperature-in-new-york-city-be-between-78-79f-on-october-6,19560725002439786729401186731146009188016351642713020019493783134847630820060,58464697617772721467394515943687541259887674317537076421583911304561596167790,0xb6e67362b5af2bf4fb511b6aae20162b4fa7026a25caa22cd5a84d459d05cdbe
Will the highest temperature in New York City be between 77-78°F on October 7?,Yes,No,0.30999999999999994,10,5.0,5.0,5.0,5.0,138.89000000000001,0.04,50,94.97,88.04,81.19,70.93,60.09,39.4,39.4,0.16,0.47,0.32,3.5,0.01,True,will-the-highest-temperature-in-new-york-city-be-between-77-78f-on-october-7,2277102149910241787003671562617104589653565773176370039695907090855081656444,2080035049350943296503651091483929956607367985324210210911196117757289516245,0xb49a784075862f78d2f36f368837b21d224145fa2bdb5d951bbd79e9e64c3324
Will the highest temperature in New York City be between 75-76°F on October 7?,Yes,No,0.45,10,5.0,5.0,5.0,5.0,181.65,0.03,50,13.13,24.01,61.96,81.37,71.41,55.12,55.12,0.04,0.49,0.26,3.5,0.01,True,will-the-highest-temperature-in-new-york-city-be-between-75-76f-on-october-7,13398933928136478810151305473762544950244320142504776689399086658503120804384,96873879857594063596380030043730811988237325799166276041205925705133584298606,0x7642a2119ee87d3d277e6d2725eddc6dd0d99757b61749128379ccd6e8a6b76c
Will the highest temperature in New York City be between 80-81°F on October 6?,Yes,No,0.10999999999999999,10,5.0,5.0,5.0,5.0,101.37,0.05,50,25.74,18.38,18.72,19.63,21.07,40.15,40.15,0.31,0.42,0.37,3.5,0.01,True,will-the-highest-temperature-in-new-york-city-be-between-80-81f-on-october-6,87487538882321809750633415879731417878377694274539460042939406975098474562479,21505962797350468012466469762019891219137842857275497202294094841688684301823,0x0fb48acfe9a46579b457c6db24023f038e3c82264130cc68d8d86e4475b7c96c
Will the highest temperature in New York City be between 82-83°F on October 6?,Yes,No,0.14999999999999997,10,5.0,5.0,5.0,5.0,196.68,0.03,50,73.73,48.3,48.76,74.27,82.52,57.08,57.08,0.14,0.29,0.22,3.5,0.01,True,will-the-highest-temperature-in-new-york-city-be-between-82-83f-on-october-6,15923379475719231188133496935944185628838227207873151350631679658378516607779,110697255131396990593094651867865599970693530096168117887698171980039381248673,0xaedc75915e5a94ac7ffac20b906152046057dc620ab12aafb70a601419794a6f
Will the highest temperature in New York City be between 79-80°F on October 7?,Yes,No,0.07,10,5.0,5.0,5.0,5.0,44.16,0.11,50,0.0,0.0,7.68,5.43,9.06,17.55,17.55,0.33,0.4,0.36,3.5,0.01,True,will-the-highest-temperature-in-new-york-city-be-between-79-80f-on-october-7,87508707643501148045761408985985149260218345568670632616096607778502787009804,70144517007390668873156400638922604015306131691441258423915479617698310296449,0x6d1957a9f17f707e2bfda8dd9788f0d83a84882a3305a5c24246773393cb2d39
Will the highest temperature in London be between 62-63°F on October 7?,Yes,No,0.3,10,5.0,5.0,5.0,5.0,126.53,0.04,50,25.04,24.62,36.27,39.91,36.69,44.92,44.92,0.31,0.61,0.46,3.5,0.01,True,will-the-highest-temperature-in-london-be-between-62-63f-on-october-7,2202358684525666142737606583513097925907067578410010681138953068527536701099,108810910408309273049245704460993545044766089671216831160179711268890512663191,0xea67d50aba31098b36ab8d3ef7aca0c4b8f46bdae9e2c596f5e6067da0566264
Will the highest temperature in London be between 68-69°F on October 6?,Yes,No,0.64,10,5.0,5.0,5.0,5.0,109.64,0.05,50,115.11,78.54,56.11,47.68,39.2,35.22,35.22,0.12,0.76,0.44,3.5,0.01,True,will-the-highest-temperature-in-london-be-between-68-69f-on-october-6,7707356992061451237567488073305448354843570935475638965485069031222841364200,67734627577540268914265263453639987663703497401053939820680837642668577033967,0x8fdcd26052bcb4b3d96eba714377f4f0d478236fe619acbca0115c2674c7a614
Will the highest temperature in London be between 64-65°F on October 7?,Yes,No,0.16,10,5.0,5.0,5.0,5.0,117.33000000000001,0.04,50,13.63,15.27,29.63,22.68,32.77,42.28,42.28,0.23,0.39,0.31,3.5,0.01,True,will-the-highest-temperature-in-london-be-between-64-65f-on-october-7,112097104285613333331242800954603255154312160486028747561097321265392439699772,73345737415062192285990512566744599443508710822873833193989810845786083232512,0x15e4b47c674df32c1c621ec42b385f97d585eb567ab4f8a9032e7fe6f7fe4481
Will the highest temperature in London be between 70-71°F on October 6?,Yes,No,0.1499999999999999,10,5.0,5.0,5.0,5.0,276.06,0.02,50,161.69,171.96,133.92,99.34,100.44,87.81,87.81,0.55,0.7,0.62,3.5,0.01,True,will-the-highest-temperature-in-london-be-between-70-71f-on-october-6,33207891240871335377792903632127050677625309404640876264155403717358694849489,27215034833612366547549361084243965257184929208054845483287191129487134329376,0xd7bdc3e68ad28f0c4cef1305f963a12065f7333f810c917a7791421f396141f0
Will Israel strike Yemen 1 times by October 31?,Yes,No,0.07999999999999996,10,5.0,5.0,5.0,5.0,49.04,0.1,50,0.0,0.0,7.68,8.81,12.38,18.33,18.33,0.34,0.42,0.38,4.5,0.01,True,will-israel-strike-yemen-1-times-by-october-31,52059755643910063959387039209821327396920907266087161596837164120240680704687,34092650979877765221583552093987500126677435651925730793135294489977580079036,0x8b02310f46df5c2a13445973294c82831f63433aa8774082b05b6ca3ab9f56c5
