question,answer1,answer2,neg_risk,spread,best_bid,best_ask,rewards_daily_rate,bid_reward_per_100,ask_reward_per_100,gm_reward_per_100,sm_reward_per_100,min_size,max_spread,tick_size,market_slug,token1,token2,condition_id
Maduro out in 2025?,Yes,No,False,0.009999999999999981,0.14,0.15,150,1.89,4.15,2.8,3.02,200,3.5,0.01,maduro-out-in-2025,45343480653694577807177505914664405669209636932459044719445554137639656106379,41964567801082845894806819450184088025109907047152958677101366054975498213237,0xafc235557ace53ff0b0d2e93392314a7c3f3daab26a79050e985c11282f66df7
Will the Government shutdown end October 15+?,Yes,No,True,0.010000000000000009,0.7,0.71,100,0.44,1.44,0.8,0.94,200,3.5,0.01,will-the-government-shutdown-end-october-15,63773334683820352784349536046848684795746271894742580290503889771875189995041,15576666622588550581934394224697255142226884279745920205247760161003413323572,0xa9b4d63db8031fbc369d863e1e9dea77296ab49ddade6793f1938fe0c76e7d10
Will Tesla (TSLA) beat quarterly earnings?,Yes,No,False,0.010000000000000009,0.75,0.76,100,1.32,1.3,1.31,1.31,200,3.5,0.01,tsla-quarterly-earnings-nongaap-eps-2025-10-15-0pt5,37685800668457844386765803839320595988837106080582104665596998819815810884299,19633015308665515809540164863866960264374452588900338058031105544479007548468,0x0aaf73677aeda3cda88c7337343177267011f1d6d08fbdc83174e5bee6a48edc
No change in Fed interest rates after October 2025 meeting?,Yes,No,True,0.010000000000000009,0.06,0.07,100,0.1,0.7,0.26,0.4,200,3.5,0.01,no-change-in-fed-interest-rates-after-october-2025-meeting,93649474745035786731233919003082633017639813911207879453624389467235918905276,20248532312255939043525932145429175719961770380347060601058184144030320732306,0x6ef34d5c7937cb8a1eb22234ddce8fe3eb1595e1f35c7d4f2101c58f3506e580
Fed decreases interest rates by 50+ bps after October 2025 meeting?,Yes,No,True,0.0010000000000000009,0.032,0.033,100,0.38,0.7,0.52,0.54,200,3.5,0.001,fed-decreases-interest-rates-by-50-bps-after-october-2025-meeting,56606480957388905488783515430819601640929432353106353680720689974997213777138,53676785636700157256852250095826025029451888648974703429616395645714952970781,0x6a8c775d3a7ab901a5c4595dbc33478d654dc3b293be2b80fd64500cabbfcc37
Will the Government shutdown end October 10-14?,Yes,No,True,0.010000000000000009,0.22,0.23,100,8.21,8.76,8.48,8.48,200,3.5,0.01,will-the-government-shutdown-end-october-10-14,101498431606715342761575953026777430269551601560209286685383560955164321738436,108416167621173363215008688396476045973727989005336989424390454306344668908969,0x3c14980495b09987db0d1b241f47c8f791b6591340f94fea066beeef139ec352
Will the federal government be shut down for 4–9 days in 2025?,Yes,No,True,0.018999999999999996,0.04,0.059,100,3.18,3.43,3.3,3.3,100,3.5,0.001,will-the-federal-government-be-shut-down-for-814-days-in-2025,87349911910194656800992107704365873421990399504425103346444129432747998143957,15490379840629443145333883287351421979484403350653191077232269924329859554621,0x91f3dda0af0eb539eabcf5a34dc8cad9c06b0effde005ac9bfda5a02e548cad2
Will the federal government be shut down for 30 or more days in 2025?,Yes,No,True,0.007000000000000006,0.29,0.297,100,2.57,3.63,3.05,3.1,200,3.5,0.001,will-the-federal-government-be-shut-down-for-36-or-more-days-in-2025-545,52552848934224056816857469289140953604065223085534396171662611273799205417898,3548268779506460907513432308994407623049411158653949513786067373479010046083,0x2b31e7ad9f42753434a1703d157a1c8414c92b6f1ea2fa35acf6df90be9d777e
Israel strikes Iran by October 31?,Yes,No,False,0.009999999999999981,0.14,0.15,70,4.47,0.85,1.95,2.66,200,3.5,0.01,israel-strikes-iran-by-october-31,245584508265384387566891337162031911911613259978211411036698288271390901408,67785302886554255554185754545236995268516081114301306537660246815925569660759,0x876e3f74017fff10b2677f8c0b9c7ddcf8f74f147eeee59fff71e7a1928edf19
Will the Government shutdown end October 6-9?,Yes,No,True,0.009999999999999995,0.05,0.06,70,7.65,14.43,10.51,11.04,200,3.5,0.01,will-the-government-shutdown-end-october-6-9,102353409991138207236913342279665845978485795604419286786657142150963180132116,58645066108179153821821527079842767328242879244948054511016536832758757908703,0x2df0f9131944410c596a5ec62c3c19d2dde36d97002e9a236ea5323ffe1a9be4
Will Mediterranean Sea Rescue organizations win the Nobel Peace Prize in 2025?,Yes,No,True,0.009000000000000001,0.041,0.05,70,2.05,3.18,2.55,2.62,20,3.5,0.001,will-mediterranean-sea-rescue-organizations-win-the-nobel-peace-prize-in-2025,114883260463905497736087260472456514586441582608897944939690381383053084748665,39517508757524565270787090924586814818185672546367781913981185363461964792537,0xe674576a95017969f60cedca16f6851503fd65209136cf8b8bf1044b3ecab4cb
Will Applied Digital (APLD) beat quarterly earnings?,Yes,No,False,0.020000000000000018,0.86,0.88,70,13.18,6.73,9.42,9.96,20,3.5,0.01,apld-quarterly-earnings-nongaap-eps-2025-10-09-neg0pt16,112554553237492010389712832862437088485795745543136466480942257799712028422732,28855119539963429850492298511382171846875325887712027364600407642226277725336,0x2bcb07b13e4086028a4398df1f20000ed83816828337aefbf5f0ffa851e75d10
Will BlackRock (BLK) beat quarterly earnings?,Yes,No,False,0.010000000000000009,0.89,0.9,70,4.5,7.31,5.74,5.9,20,3.5,0.01,blk-quarterly-earnings-nongaap-eps-2025-10-14-11pt76,105818134816492989857859675397661515589486426075774379468585464225118011364502,107000542866011393322603444685580995333183935316727170198410292926787101182683,0xd67c63a0b0fec10ad997cb6f083a5657589758d2a2a0769313e13e6d9de19e98
Will International Court of Justice win the Nobel Peace Prize in 2025?,Yes,No,True,0.020000000000000004,0.06,0.08,70,14.12,16.59,15.31,15.36,20,3.5,0.01,will-international-court-of-justice-win-the-nobel-peace-prize-in-2025,36100252016429235166971464852761174064397548983991672489459694709597066132434,73984735279132835995800607992859335826780118808814312060861377250450659593959,0x3a2e4ae1fa0f7df7e78ef8497a3e9867345032c51109aacc9b4caa68fcb6d49b
Will Nurix Therapeutics (NRIX) beat quarterly earnings?,Yes,No,False,0.030000000000000027,0.71,0.74,70,10.41,11.32,10.86,10.86,20,3.5,0.01,nrix-quarterly-earnings-gaap-eps-2025-10-10-neg0pt85,89180819592312179567354452226305568030422120425974318359373816604228079744548,75449248108081447291629112992085737919153726875924456218383082152480743168848,0xcceacf84e616fdd9bd7fffc339e4deb267c41c7e817c78723e62bd814358eeed
US x Venezuela military engagement by October 31?,Yes,No,False,0.009999999999999981,0.23,0.24,70,3.66,9.27,5.82,6.46,200,3.5,0.01,us-x-venezuela-military-engagement-by-october-31-434,52859417050735918868656908741603454505096049718734443404219679209972083783955,108222495243539546187805552650942183230816478636830289122686938116258337681972,0x3d16ed6f91ad7d3ffb1633e792a6b5595cbd30cf8a9f63883ade9e6e97c8bdc8
Will Eric Adams endorse Cuomo?,Yes,No,False,0.020000000000000018,0.71,0.73,70,1.79,5.92,3.26,3.86,100,3.5,0.01,will-eric-adams-endorse-cuomo,53711496223141845645313680027093421302492151782043432385685565480316878170093,41467336413463866375900800072152182192989705970122395437389522692707641577345,0xdcf2271b7c57b7de917ef6205de87a46a4c180970e9480c9290bc9d18b74db93
Will Helen of Troy (HELE) beat quarterly earnings?,Yes,No,False,0.04999999999999993,0.55,0.6,70,17.59,16.56,17.07,17.08,20,3.5,0.01,hele-quarterly-earnings-nongaap-eps-2025-10-09-0pt52,36595540883444483049397704165859734165296213208797590130209779223515442527136,35001997328738137346525262385409939407615706067351206704127889745262708087444,0x2b7e81eb5a5b5b33f6c96d13192c4512411cf58fe73c4fb3f4dad39bb8e90991
Will Richardson Electronics (RELL) beat quarterly earnings?,Yes,No,False,0.020000000000000018,0.73,0.75,70,7.95,10.69,9.22,9.32,20,3.5,0.01,rell-quarterly-earnings-nongaap-eps-2025-10-08-neg0pt01,77513654056324038465016322540676597231944770088721378950675823669249930786993,103541248315337807504121263695676368686777384369421173254520484751896232935705,0x30276b59d4611ee42e2c1d91c0985f4a13decbe57eb857c41edaae66292c4c5f
Will AZZ (AZZ) beat quarterly earnings?,Yes,No,False,0.010000000000000009,0.9,0.91,70,9.23,7.01,8.04,8.12,20,3.5,0.01,azz-quarterly-earnings-nongaap-eps-2025-10-08-1pt57,21434878513385905389098602391984541416608417936746864695484413177804549178497,65770006329472536797111604690822388984325441123677463203260812732664696637882,0x5466a34f86708de3b1014fcb0c02ad2fa63456a1e7af1d393d2b16aca3c79832
Will Penguin Solutions (PENG) beat quarterly earnings?,Yes,No,False,0.10999999999999999,0.87,0.98,70,35.0,35.0,35.0,35.0,20,3.5,0.01,peng-quarterly-earnings-nongaap-eps-2025-10-07-0pt37,11630463152571971897781213321275481651402259704262926189741277348564125975715,77890849740600664751103592664177798883479697317391234398773782132543457185740,0xbcc4a0abc46ae57ebfbb0c2fdd4dbf68d53e4164570c1994b8fe9afb92f0d3cf
Will Key (KEY) beat quarterly earnings?,Yes,No,False,0.020000000000000018,0.65,0.67,70,8.69,14.42,11.19,11.56,20,3.5,0.01,key-quarterly-earnings-gaap-eps-2025-10-16-0pt38,93723006919773834864276173063265284908250027131683620621406699596105334245793,2721030591740493700497574204608938969411610350250841180575401443154686405409,0x36b9b17c74855c6d49cf333fd6ac6d8cb5d4b72d96d870d59771dab259fa6e3e
Will Fastenal (FAST) beat quarterly earnings?,Yes,No,False,0.010000000000000009,0.71,0.72,70,10.35,9.27,9.8,9.81,20,3.5,0.01,fast-quarterly-earnings-gaap-eps-2025-10-13-0pt30,10097924204200360518597956657728733542552772177286081758947242273990396591274,75383807920166080834741825302026850691784673567384790983598213941756907197319,0xd95763b99884bc43791ecf75766ca99158926336d532749ce51aaddce8668d91
Will Glacier Bancorp (GBCI) beat quarterly earnings?,Yes,No,False,0.030000000000000027,0.73,0.76,70,6.73,7.22,6.97,6.98,20,3.5,0.01,gbci-quarterly-earnings-gaap-eps-2025-10-16-0pt61,93621596081514643820447644055272348249133393867775029038934523780834344629658,86301041920931369055235758641946052812351287491925758566513392869192480151766,0x81e68dff563dfa1221a6d1c0215e2d3549c794cb72a366be1645d7724b338997
Will Byrna Technologies (BYRN) beat quarterly earnings?,Yes,No,False,0.020000000000000018,0.76,0.78,70,8.19,10.46,9.26,9.32,20,3.5,0.01,byrn-quarterly-earnings-gaap-eps-2025-10-09-0pt06,34052625302660668065282320732091519566746651927210893168935336662978452882968,47337321558494875944608823468696566837115195482310626986232820911912336659603,0x371ab1ff57e500d605ac27a481e35b53ff12067c7c39492bd97ea06bc7d5316a
Will Resources Connection (RGP) beat quarterly earnings?,Yes,No,False,0.010000000000000009,0.75,0.76,70,5.06,6.37,5.68,5.72,20,3.5,0.01,rgp-quarterly-earnings-nongaap-eps-2025-10-08-neg0pt10,41317616991459347209660491350582104390052947602484288015154071668002810851162,88854017654734788087103345061231893636441756741452017828855827251949151847097,0xe7269fae0438d2781e7355ddab7c8539a1fd99eecbf82b7f8fa73bfaba2f62f7
Will Unity Bancorp (UNTY) beat quarterly earnings?,Yes,No,False,0.04999999999999993,0.77,0.82,70,8.54,16.58,11.9,12.56,20,3.5,0.01,unty-quarterly-earnings-gaap-eps-2025-10-10-1pt29,40200913228891513316709582884707676821056070942029234705719226758333843407501,1933485463913189515254096617203860061791972571488994066702957622202574270450,0x5a58ac95347476118d188fc1b3651ec5a603a505abb673b6fefa677cd11686d5
Will Neogen (NEOG) beat quarterly earnings?,Yes,No,False,0.010000000000000009,0.36,0.37,70,8.84,11.73,10.18,10.28,20,3.5,0.01,neog-quarterly-earnings-nongaap-eps-2025-10-09-0pt04,52273751263713857648921804078466648255282997692986833033892328585441018128008,51560962646439884022416726722849507157327208185166971850525029177312463340144,0x4adb9043d555e5f676d2b465d4f4acddede52d6352edbab7bf2422aae03c4d4e
Will ServisFirst Bancshares (SFBS) beat quarterly earnings?,Yes,No,False,0.040000000000000036,0.7,0.74,70,9.85,14.34,11.88,12.1,20,3.5,0.01,sfbs-quarterly-earnings-nongaap-eps-2025-10-20-1pt34,54632396797299782633329120708072039383491248244637817144372970401967589664607,56788684528386827959253843363434812279856441910772065746448000925265680655208,0x499806221a598eeb2761549f5f50cb2a32198b9e3c3342ad8eb09eb015bf008d
Will State Street (STT) beat quarterly earnings?,Yes,No,False,0.020000000000000018,0.78,0.8,70,8.57,9.73,9.13,9.15,20,3.5,0.01,stt-quarterly-earnings-gaap-eps-2025-10-17-2pt58,4305309925690860739303312399731024689108419294625372795199214775764098235970,4899853627758639001523528904665005066867044946547535402478378630137600278354,0x0cf7d752a5ab03ebb18d46d3924a652dfa6b6d63c03cc2367444fcad1a3fad7d
Will U.S. Bancorp (USB) beat quarterly earnings?,Yes,No,False,0.050000000000000044,0.63,0.68,70,18.92,25.61,22.01,22.26,20,3.5,0.01,usb-quarterly-earnings-gaap-eps-2025-10-16-1pt12,106865457003124259687212454575882696730900230527840974331695821405487076662016,17872637000287025566659245188084778537477846766763458614894209161009104880746,0x34b757c5f3db545a90059fe79b03ba79488b72acf7c2df7ad267a2424baf9c68
Will Truist Financial (TFC) beat quarterly earnings?,Yes,No,False,0.030000000000000027,0.75,0.78,70,11.03,11.6,11.31,11.32,20,3.5,0.01,tfc-quarterly-earnings-nongaap-eps-2025-10-17-0pt99,108566333406730813898779603985545324286951154485668872695413493959006563788379,14668225719180518178643015375928942532582944440737981814290359555575110333322,0xff3db55dd6ad4dc3938876a6b18812b121556a314309a9e08c870f99f797818f
"Will Elon Musk post 300-319 tweets from September 30 to October 7, 2025?",Yes,No,True,0.026000000000000023,0.362,0.388,60,2.71,2.3,2.5,2.5,50,3.5,0.001,elon-musk-of-tweets-september-30-october-7-300-319,86329660181256976865845452271856477213131372785037146993641295768995336418463,98339332399699324073539108779287543714157321598467116888571613938707137514945,0x337455612db41e7883fb55751fe15ac7ce2e508abed73bfeda195c0c00196e8f
"Will Elon Musk post 280-299 tweets from September 30 to October 7, 2025?",Yes,No,True,0.03699999999999998,0.261,0.298,60,4.15,3.08,3.58,3.62,50,3.5,0.001,elon-musk-of-tweets-september-30-october-7-280-299,94426680883963212080469564639937458673853383545359258711608717351717981685843,112249437647448055236465418961923702954222049893672097118280624848413419143338,0x3c687f6b973b73669fa2f61a711062b2d943b69fa2a6e8a424c9e496ce6cf7bf
Taylor Swift holds top ten spots on the Billboard Hot 100 for the week of October 18th?,Yes,No,False,0.010000000000000009,0.96,0.97,50,0.36,0.11,0.2,0.24,200,3.5,0.01,taylor-swift-holds-top-ten-spots-on-the-billboard-hot-100-for-the-week-of-october-18th,21594526773079241500859365513853621692741836343970087994549651489247522109713,99812773185053931536517167203177954337829606289018184248009138586324467949262,0xc62be62dddbace25bb3deacafbb235ea16ae739960f186e4ae748d5b57187a9e
Will the Seattle Mariners win the 2025 World Series?,Yes,No,True,0.0010000000000000009,0.118,0.119,50,0.12,1.67,0.45,0.9,500,3.5,0.001,will-the-seattle-mariners-win-the-2025-world-series,1543102182465548464344093155243005494230716616021871600417884509419748721046,25372379281968678933068986926761799525201194377514170019841132894283300333836,0x68a14da906e9e7cd029f77fcbf8abc7396c5923e14973751a94c99f6daa9d7b8
"Will Hyperliquid perform an airdrop by December 31, 2026?",Yes,No,False,0.020000000000000018,0.88,0.9,50,9.41,9.54,9.47,9.48,50,3.5,0.01,will-hyperliquid-perform-an-airdrop-by-december-31-2026,101513571766435454355723114188696307527864518980689079866102837918467349506537,85487630954297906857427842745787851948079273488527800245673979479655643658539,0xfa88bedd0403281fac1b3c8b310755040aabed8ba12ded1b2e3205a3d05a4a28
Will the Philadelphia Phillies win the 2025 World Series?,Yes,No,True,0.0010000000000000009,0.084,0.085,50,0.47,0.4,0.43,0.44,500,3.5,0.001,will-the-philadelphia-phillies-win-the-2025-world-series,32555875557692358647471983626838053589198246097564374981946014713446249058921,98243050329574883988850496210228296236530993593250623525433055833801049418930,0x174095e1593bae3b4ddfe14e9d90ad7fe7572a8e92193e37ee2d9a3151f544fc
Will Heather Humphreys win the Irish Presidential Election?,Yes,No,True,0.03200000000000003,0.296,0.328,50,1.69,3.08,2.28,2.38,200,3.5,0.001,will-heather-humphreys-win-the-irish-presidential-election,104458870263899644287158108621256074306353260507686835034581027254079050071848,36637490150126983680383122839104309024735628329375624742511977038334695464081,0x9b2042734243b3fd1f411f98e716367052941d574dc95564f2beeda271917280
Will Catherine Connolly win the Irish Presidential Election?,Yes,No,True,0.020000000000000018,0.66,0.68,50,5.19,9.26,6.93,7.22,200,3.5,0.01,will-catherine-connolly-win-the-irish-presidential-election,35819574986567063041610481895803311952212566085229880109455177860039836195470,11639725903283767178376996051224667519150023734849155317716252693652552160709,0x566d830e56572831055d5283bd64af8a300945636a3d6a4bc116c55886298706
Will House and Senate pass funding bill by October 15?,Yes,No,False,0.030999999999999972,0.254,0.285,50,2.42,3.06,2.72,2.74,200,3.5,0.001,will-house-and-senate-pass-funding-bill-by-october-15,71550761633678779571812332800748540030999275024621040190406289268806903203856,111171793885213426880133016125710364072286176293577274224722977002951711216423,0x8d41e65209690c2f9a6347019fbad1113bdf6f617d24befee07a60dfe389fa4a
Israel x Hamas ceasefire before 2026?,Yes,No,False,0.0020000000000000018,0.723,0.725,50,0.67,1.25,0.92,0.96,200,3.5,0.001,israel-x-hamas-ceasefire-before-2026,30970983861359869193459616615999746460572744520905006545629816054794875558355,9022242446965460992675148513465279956952237358463225683411818753752794850571,0xc2e5f441b24c3bde052635a5ca1d10a7fa8740e4efb8df6b815276e887aa979d
Taylor Swift pregnant in 2025?,Yes,No,False,0.020000000000000018,0.12,0.14,50,1.03,2.13,1.48,1.58,200,3.5,0.01,taylor-swift-pregnant-in-2025,44305836174662659056360031599221289950024907383706896555756948878751959775782,72122482770569588499506755542531317316214547923366033552728295449545343415738,0xf4f51e9e4e8439e32f64dc0e659828af7564f9cbc323d4f7442f2c590a2ea07d
Fed increases interest rates by 25+ bps after October 2025 meeting?,Yes,No,True,0.001,0.004,0.005,50,0.11,1.7,0.43,0.9,200,3.5,0.001,fed-increases-interest-rates-by-25-bps-after-october-2025-meeting,60156625646569576964584621291475860303247825215466310280401996727843189574431,75662380910516595836713877605277832183886163391379455962356909608435996726535,0xd6e0317cee513cc3afdc1954ac576b241ad2287536e88b17fd3a77b4c3d0976e
"Will Elon Musk post 320-339 tweets from September 30 to October 7, 2025?",Yes,No,True,0.026000000000000023,0.241,0.267,50,2.57,2.26,2.41,2.42,50,3.5,0.001,elon-musk-of-tweets-september-30-october-7-320-339,81964232315580789932856483515250436587072202390834892248977376048128672578036,32547396121672700298117643833176544376640925845236895902084183180639005153132,0x2476e15a7d24f8c6ba041f8e8a948c5d5181637f03aec04a5a6792d60052ea1d
Will The Life of a Showgirl’s first-week album sales be 4000000 or more?,Yes,No,True,0.03399999999999992,0.53,0.564,50,2.59,3.34,2.94,2.96,100,3.5,0.001,will-the-life-of-a-showgirls-first-week-album-sales-be-4000000-or-more,65153452939756716272650437373878128717551698147802153082420030394690136572916,48937354848253592690736058131279876226495714169863750677813620667008601724928,0xac668145450c97698032df41289265cc1eab25bc5f42c4d4809922ea7db39f3e
Will the Los Angeles Dodgers win the 2025 World Series?,Yes,No,True,0.010000000000000009,0.31,0.32,50,0.31,0.46,0.38,0.38,500,3.5,0.01,will-the-los-angeles-dodgers-win-the-2025-world-series,50056291296373013403053264672448796961558656386670931029485176637893947669174,1848970600573335108085877783719034971837863729226932893148573876733882101789,0x1073cc3483263763397b853cb095ac8451f7e26b5a94231b5973c14bf6e7a95a
Will the New York Yankees win the 2025 World Series?,Yes,No,True,0.010000000000000002,0.04,0.05,50,0.67,0.56,0.61,0.62,500,3.5,0.01,will-the-new-york-yankees-win-the-2025-world-series,113169259226134431152838745958605113475709202189344707220996974617795381207465,54619115519208513214005512786965439005780121697670763471850690674538510057707,0xc8761147389535d28583a71eab365841f36f1cc7ee689fbd32a384e3879a5b7c
US x Venezuela military engagement by December 31?,Yes,No,False,0.020000000000000018,0.51,0.53,40,9.85,8.32,9.05,9.09,100,3.5,0.01,us-x-venezuela-military-engagement-by-december-31-391,58194798786674267467235696472878300864943462064955274098210719743062794563955,86127053351389280317665592955308422023136163174658857021506191296325242966070,0x62b0cd598091a179147acbd4616400f804acfdff6f76f029944b481b37cbd45f
Will Gemini 3.0 be released by October 31?,Yes,No,False,0.039999999999999925,0.65,0.69,40,7.94,7.2,7.56,7.57,100,3.5,0.01,will-gemini-3pt0-be-released-by-october-31-881-568-524,11884560026541818867074532862160335930627617257772176678343571244360369764268,26995640316426736155119869504185537388579005652312736538276029664453503026428,0xb65d38b20b1405e0f246ce4ae2d027a17537986d7af927cabf974eff17e0868f
Will Gemini 3.0 be released by October 15?,Yes,No,False,0.010000000000000009,0.16,0.17,40,7.16,7.84,7.49,7.5,200,3.5,0.01,will-gemini-3pt0-be-released-by-october-15,26263932589074273696964514703678143689677121346130757022106324168439680078457,19345680502009368969848618092530820509128041634745186615359295125724504821831,0xcef1d53c8d5da95df81885e658dd3a30ae937bbe18bbe40cbb166058710fdff1
Will Hamas disarm by December 31?,Yes,No,False,0.010000000000000009,0.35,0.36,40,1.15,3.06,1.88,2.1,100,3.5,0.01,will-hamaz-disarm-by-december-31,90745857659327148773609688807318558478201557095351383313162258694341091010927,33553945367166725251175374412602170037894165758025042506237379564547625385037,0x11db077700a35d7415b6198c5e5a53adcf1db1819a09831f7eaf148f88243c40
Will the Buffalo Bills win Super Bowl 2026?,Yes,No,True,0.010000000000000009,0.16,0.17,30,0.02,0.28,0.07,0.15,200,3.5,0.01,will-the-buffalo-bills-win-super-bowl-2026,19740329944962592380580142050369523795065853055987745520766432334608119837023,20830052946262425318347897889378986218676355013257249888938222536677638197588,0x39d45b454dcf932767962ad9cbd858c5a6ec21d4d48318a484775b2e83264467
Will House and Senate pass funding bill by November 30?,Yes,No,False,0.01100000000000001,0.951,0.962,30,0.54,0.62,0.58,0.58,200,3.5,0.001,will-house-and-senate-pass-funding-bill-by-november-30,9037346447522767900708251775488130766686237721012529933501786428541932396604,22839648908956520777253287483032821136312626093702901293466130117901861747475,0x3f8f28bade4519d43d4ccd7e11311e71998ec535887c384422cf989c33891cfa
"Will Elon Musk post 220-239 tweets from October 3 to October 10, 2025?",Yes,No,True,0.009999999999999995,0.11,0.12,30,6.45,8.02,7.19,7.24,50,3.5,0.01,elon-musk-of-tweets-october-3-october-10-220-239,39010942706353650770341594026526054165166047498897339944238901915779090130314,64186425432903236183458112134019480278851841462153955902465652437483877551868,0x79dad466b258dd8877deb9e3455719d6272bf393038614f421fc5948a3b35ed7
Xi Jinping out in 2025?,Yes,No,False,0.009999999999999995,0.05,0.06,30,0.03,0.13,0.06,0.08,200,3.5,0.01,xi-jinping-out-in-2025,114304586861386186441621124384163963092522056897081085884483958561365015034812,112744882674787019048577842008042029962234998947364561417955402912669471494485,0xf2ce8d3897ac5009a131637d3575f1f91c579bd08eecce6ae2b2da0f32bbe6f1
Will Mikie Sherrill win the New Jersey Governor Election in 2025,Yes,No,True,0.009999999999999898,0.81,0.82,30,0.05,0.21,0.1,0.13,200,3.5,0.01,will-mikie-sherrill-win-the-new-jersey-governor-election-in-2025,23056089932958374419797522644901592808991002026498053086166940911059008923379,22817054741590785607960221324844057903234740985452007938232760073276442663,0x027eeeaba097b5f3b166eace64668b2e6b327acc7c6b314ae5f03b33b51425e7
Will Jack Ciattarelli win the New Jersey Governor Election in 2025,Yes,No,True,0.010000000000000009,0.18,0.19,30,0.86,0.31,0.52,0.58,200,3.5,0.01,will-jack-ciattarelli-win-the-new-jersey-governor-election-in-2025,53937473648188783569836457104933054364348579768036516690207399280597410899636,49192392809047808419856667448965902693178614731374612329831071460756539596244,0xda8ebb9d7998b0e37f912b78d8f71a9e36b8a8b5b2afff4bb1f8106e29ae0604
